#{"t_start": 1530978855.758439, "env_id": "InvertedPendulum-v2"}
r,l,t
29.0,29,28.980371
5.0,5,28.989363
3.0,3,28.99436
17.0,17,29.017347
3.0,3,29.022345
3.0,3,29.028342
5.0,5,29.037336
3.0,3,29.043332
4.0,4,29.050329
3.0,3,29.056325
2.0,2,29.061323
3.0,3,29.067319
4.0,4,29.074315
3.0,3,29.081311
3.0,3,29.088307
3.0,3,29.098302
4.0,4,29.109297
2.0,2,29.116291
3.0,3,29.128284
5.0,5,29.137279
3.0,3,29.144274
7.0,7,29.155269
12.0,12,29.172259
40.0,40,33.744636
2.0,2,33.751631
3.0,3,33.760627
3.0,3,33.770621
3.0,3,33.781615
17.0,17,33.812598
3.0,3,33.820592
3.0,3,33.827589
3.0,3,33.835585
3.0,3,33.844577
81.0,81,33.993493
3.0,3,34.000489
3.0,3,34.006485
3.0,3,34.012481
3.0,3,34.020478
3.0,3,34.029472
36.0,36,34.10243
3.0,3,34.110425
15.0,15,34.134413
3.0,3,34.141408
3.0,3,34.148404
2.0,2,34.1534
4.0,4,34.161397
30.0,30,34.201375
3.0,3,34.207371
16.0,16,34.236356
3.0,3,34.244349
2.0,2,34.251345
4.0,4,34.262339
4.0,4,34.272333
4.0,4,34.280329
3.0,3,34.287325
3.0,3,34.29432
3.0,3,34.301317
3.0,3,34.308312
3.0,3,34.314308
4.0,4,34.323305
7.0,7,34.335296
3.0,3,34.343292
3.0,3,34.351288
4.0,4,34.359284
8.0,8,34.377273
4.0,4,34.388266
2.0,2,34.393264
2.0,2,34.400259
3.0,3,34.407255
3.0,3,34.414252
4.0,4,34.421247
3.0,3,34.430241
8.0,8,34.442235
5.0,5,34.452229
4.0,4,34.460226
2.0,2,34.466221
4.0,4,34.474217
16.0,16,34.5032
29.0,29,34.542177
3.0,3,34.550174
8.0,8,34.570161
3.0,3,34.577158
17.0,17,34.603143
8.0,8,34.617136
3.0,3,34.623132
34.0,34,34.685096
4.0,4,34.695089
3.0,3,34.704085
3.0,3,34.71308
3.0,3,34.720076
3.0,3,34.726072
2.0,2,34.731069
19.0,19,34.767049
3.0,3,34.773046
3.0,3,34.780042
10.0,10,34.795033
3.0,3,34.802029
9.0,9,34.815022
2.0,2,34.820019
1000.0,1000,41.349272
3.0,3,41.355269
4.0,4,41.364264
3.0,3,41.371259
2.0,2,41.379254
3.0,3,41.387249
5.0,5,41.397244
2.0,2,41.402242
3.0,3,41.409238
19.0,19,41.441219
2.0,2,41.446216
3.0,3,41.455211
2.0,2,41.464206
21.0,21,41.500186
3.0,3,41.506182
3.0,3,41.513177
6.0,6,41.525171
27.0,27,41.589134
3.0,3,41.599128
3.0,3,41.606124
7.0,7,41.620117
3.0,3,41.627112
3.0,3,41.634109
5.0,5,41.643104
6.0,6,41.656096
20.0,20,41.686078
113.0,113,41.959923
5.0,5,41.997899
3.0,3,42.014889
3.0,3,42.028897
3.0,3,42.042879
7.0,7,42.068858
2.0,2,42.079852
4.0,4,42.097842
2.0,2,42.105837
2.0,2,42.11883
3.0,3,42.126824
92.0,92,42.308721
2.0,2,42.322713
3.0,3,42.332708
4.0,4,42.342702
11.0,11,42.364688
4.0,4,46.573281
21.0,21,46.614251
4.0,4,46.624246
24.0,24,46.667221
2.0,2,46.673217
27.0,27,46.712195
2.0,2,46.718191
35.0,35,46.769161
3.0,3,46.776158
3.0,3,46.782156
3.0,3,46.788152
37.0,37,46.838123
2.0,2,46.843119
3.0,3,46.850115
3.0,3,46.857112
3.0,3,46.863108
3.0,3,46.871105
2.0,2,46.8771
3.0,3,46.884096
3.0,3,46.891093
7.0,7,46.905084
17.0,17,46.930068
3.0,3,46.937066
3.0,3,46.944061
3.0,3,46.950058
6.0,6,46.959053
3.0,3,46.965049
3.0,3,46.971046
2.0,2,46.976043
3.0,3,46.983039
3.0,3,46.989037
2.0,2,46.994033
3.0,3,47.00003
65.0,65,47.092977
45.0,45,47.164934
3.0,3,47.171931
4.0,4,47.179926
3.0,3,47.185923
3.0,3,47.19192
2.0,2,47.195918
3.0,3,47.201914
44.0,44,47.264878
3.0,3,47.271874
38.0,38,47.324843
3.0,3,47.330839
38.0,38,47.383809
3.0,3,47.389805
3.0,3,47.395802
3.0,3,47.401799
3.0,3,47.408796
2.0,2,47.412793
3.0,3,47.419789
3.0,3,47.426785
4.0,4,47.434781
4.0,4,47.442776
3.0,3,47.448772
3.0,3,47.454769
36.0,36,47.512735
2.0,2,47.517734
4.0,4,47.525729
5.0,5,47.536721
1000.0,1000,52.687766
11.0,11,52.702757
4.0,4,52.709754
3.0,3,52.715749
4.0,4,52.722746
3.0,3,52.729743
9.0,9,52.743733
7.0,7,52.754728
9.0,9,52.768721
3.0,3,52.773717
3.0,3,52.779712
12.0,12,52.8017
5.0,5,52.810696
3.0,3,52.818691
3.0,3,52.826686
52.0,52,52.906641
3.0,3,52.913636
3.0,3,52.920632
3.0,3,52.927627
3.0,3,52.934623
3.0,3,52.939622
3.0,3,52.947616
3.0,3,52.952614
10.0,10,52.966606
3.0,3,52.972602
3.0,3,52.979598
3.0,3,52.985595
4.0,4,52.993591
3.0,3,52.999588
10.0,10,53.014579
3.0,3,53.020575
2.0,2,53.026574
2.0,2,53.031569
3.0,3,53.038565
23.0,23,53.069548
3.0,3,53.075544
95.0,95,53.223458
3.0,3,53.229454
2.0,2,53.233453
3.0,3,53.239448
4.0,4,53.246445
3.0,3,53.252441
3.0,3,53.257438
3.0,3,53.263435
11.0,11,53.278428
2.0,2,53.283423
2.0,2,53.287422
4.0,4,53.295416
3.0,3,53.301413
3.0,3,53.307411
2.0,2,53.312406
5.0,5,53.321401
2.0,2,53.326399
3.0,3,53.333395
3.0,3,53.338392
131.0,131,57.177191
3.0,3,57.183186
25.0,25,57.218166
3.0,3,57.225162
2.0,2,57.23016
3.0,3,57.238154
4.0,4,57.24515
2.0,2,57.250149
3.0,3,57.256143
4.0,4,57.26414
3.0,3,57.270136
6.0,6,57.279131
3.0,3,57.286128
13.0,13,57.307116
3.0,3,57.313112
4.0,4,57.320107
6.0,6,57.330101
3.0,3,57.336099
3.0,3,57.341095
2.0,2,57.346093
3.0,3,57.352089
3.0,3,57.358087
3.0,3,57.365083
3.0,3,57.373078
2.0,2,57.378074
5.0,5,57.38707
16.0,16,57.408057
27.0,27,57.445037
3.0,3,57.451033
3.0,3,57.45703
3.0,3,57.463027
8.0,8,57.481015
2.0,2,57.487012
3.0,3,57.492009
3.0,3,57.498006
2.0,2,57.502004
10.0,10,57.515995
3.0,3,57.522992
28.0,28,57.571963
4.0,4,57.580958
3.0,3,57.587955
3.0,3,57.593967
3.0,3,57.600948
3.0,3,57.605943
9.0,9,57.619937
8.0,8,57.631928
3.0,3,57.638925
3.0,3,57.645921
25.0,25,57.679901
42.0,42,57.745863
11.0,11,57.765852
3.0,3,57.771848
4.0,4,57.781843
15.0,15,57.801831
3.0,3,57.807828
3.0,3,57.813825
15.0,15,57.836811
3.0,3,57.843808
2.0,2,57.848804
3.0,3,57.855799
3.0,3,57.861796
68.0,68,57.948747
11.0,11,57.964738
4.0,4,57.972733
4.0,4,57.979729
3.0,3,57.986724
3.0,3,57.991722
3.0,3,57.999718
3.0,3,58.006713
3.0,3,58.012711
3.0,3,58.018708
5.0,5,58.029701
7.0,7,58.040695
3.0,3,58.046691
2.0,2,58.051689
3.0,3,58.057684
6.0,6,58.066679
5.0,5,58.075675
3.0,3,58.082671
2.0,2,58.088666
2.0,2,58.093664
3.0,3,58.099661
3.0,3,58.105657
4.0,4,58.113652
3.0,3,58.120649
3.0,3,58.126645
3.0,3,58.132642
3.0,3,58.138638
3.0,3,58.144634
4.0,4,58.15263
3.0,3,58.157627
4.0,4,58.165624
3.0,3,58.17162
3.0,3,58.177615
74.0,74,58.279557
3.0,3,58.285554
2.0,2,58.290551
4.0,4,58.299546
3.0,3,58.306543
3.0,3,58.312539
3.0,3,58.318535
7.0,7,58.330528
3.0,3,58.336525
145.0,145,58.512423
51.0,51,58.582383
3.0,3,58.58838
4.0,4,58.596375
3.0,3,58.602372
3.0,3,58.608369
3.0,3,58.614364
9.0,9,58.626357
3.0,3,58.632354
4.0,4,62.252278
2.0,2,62.258273
2.0,2,62.263272
3.0,3,62.269268
11.0,11,62.288257
15.0,15,62.308246
2.0,2,62.313242
3.0,3,62.319239
3.0,3,62.325236
41.0,41,62.395196
3.0,3,62.402191
21.0,21,62.430175
3.0,3,62.436173
19.0,19,62.470153
30.0,30,62.509129
2.0,2,62.513128
3.0,3,62.520123
3.0,3,62.52612
10.0,10,62.541112
10.0,10,62.561101
3.0,3,62.568096
2.0,2,62.574093
3.0,3,62.581089
25.0,25,62.625064
37.0,37,62.687028
2.0,2,62.692025
3.0,3,62.699021
12.0,12,62.716011
2.0,2,62.721009
8.0,8,62.732002
3.0,3,62.738998
146.0,146,62.946879
3.0,3,62.951877
2.0,2,62.956873
3.0,3,62.962869
4.0,4,62.969865
46.0,46,63.035828
4.0,4,63.043823
39.0,39,63.092796
3.0,3,63.100791
3.0,3,63.106787
3.0,3,63.112784
2.0,2,63.117782
9.0,9,63.13677
3.0,3,63.142766
3.0,3,63.148763
3.0,3,63.156759
39.0,39,63.211727
5.0,5,63.219723
3.0,3,63.225719
3.0,3,63.231716
22.0,22,63.262698
3.0,3,63.268694
3.0,3,63.274692
8.0,8,63.289684
3.0,3,63.294679
2.0,2,63.300676
3.0,3,63.306674
3.0,3,63.312669
3.0,3,63.318668
3.0,3,63.324663
3.0,3,63.330658
3.0,3,63.339654
3.0,3,63.346649
3.0,3,63.352646
2.0,2,63.357643
3.0,3,63.36364
3.0,3,63.368638
3.0,3,63.376632
3.0,3,63.382628
3.0,3,63.388625
3.0,3,63.395622
5.0,5,63.403617
3.0,3,63.409614
3.0,3,63.41561
2.0,2,63.419607
6.0,6,63.429603
3.0,3,63.436599
11.0,11,63.452588
35.0,35,63.495564
4.0,4,63.50256
6.0,6,63.512554
6.0,6,63.522547
3.0,3,63.528545
3.0,3,63.533542
5.0,5,63.541537
6.0,6,63.55553
3.0,3,63.561525
4.0,4,63.568521
16.0,16,63.591509
4.0,4,63.599505
52.0,52,63.663467
2.0,2,63.668465
4.0,4,63.67446
3.0,3,63.680458
3.0,3,63.685454
8.0,8,63.697449
41.0,41,63.748418
3.0,3,63.755416
3.0,3,63.760412
3.0,3,63.766409
8.0,8,63.780401
61.0,61,67.813086
3.0,3,67.820081
3.0,3,67.826077
10.0,10,67.84007
3.0,3,67.846069
6.0,6,67.856062
2.0,2,67.861059
4.0,4,67.868055
3.0,3,67.87505
3.0,3,67.882046
22.0,22,67.90903
15.0,15,67.92902
2.0,2,67.934017
51.0,51,67.997979
3.0,3,68.003977
3.0,3,68.008973
3.0,3,68.01497
6.0,6,68.026966
4.0,4,68.03596
2.0,2,68.041957
3.0,3,68.048953
2.0,2,68.052948
7.0,7,68.062942
7.0,7,68.072937
3.0,3,68.078934
10.0,10,68.092926
41.0,41,68.144895
4.0,4,68.151891
3.0,3,68.157889
2.0,2,68.161886
5.0,5,68.169881
2.0,2,68.174878
83.0,83,68.27682
3.0,3,68.283816
3.0,3,68.290813
3.0,3,68.297809
3.0,3,68.305804
3.0,3,68.3138
3.0,3,68.320796
3.0,3,68.327793
3.0,3,68.334787
4.0,4,68.343783
6.0,6,68.352779
25.0,25,68.384759
3.0,3,68.390755
4.0,4,68.39975
4.0,4,68.406747
4.0,4,68.413743
3.0,3,68.419738
3.0,3,68.425735
3.0,3,68.432731
3.0,3,68.437728
52.0,52,68.501693
7.0,7,68.512685
3.0,3,68.518682
3.0,3,68.524679
3.0,3,68.531674
3.0,3,68.537671
2.0,2,68.542669
7.0,7,68.558658
3.0,3,68.565654
37.0,37,68.614626
4.0,4,68.621622
15.0,15,68.64661
3.0,3,68.652606
91.0,91,68.766539
2.0,2,68.772537
26.0,26,68.804518
25.0,25,68.839497
3.0,3,68.845494
4.0,4,68.85349
8.0,8,68.864483
3.0,3,68.87148
3.0,3,68.879474
3.0,3,68.885471
2.0,2,68.889469
3.0,3,68.896465
3.0,3,68.902461
4.0,4,68.911458
3.0,3,68.917453
8.0,8,68.930446
14.0,14,68.949434
6.0,6,68.960429
4.0,4,68.968424
3.0,3,68.97642
3.0,3,68.981416
3.0,3,68.988413
8.0,8,68.999406
17.0,17,69.024391
4.0,4,69.035387
10.0,10,69.052377
37.0,37,69.103347
2.0,2,69.108344
3.0,3,69.11434
3.0,3,69.120337
3.0,3,69.127333
3.0,3,69.13333
3.0,3,69.139325
15.0,15,69.160313
3.0,3,69.16731
24.0,24,69.217281
3.0,3,69.223279
48.0,48,69.284244
21.0,21,69.314226
24.0,24,72.985118
55.0,55,73.055078
3.0,3,73.060076
26.0,26,73.093057
3.0,3,73.100052
2.0,2,73.104051
27.0,27,73.138031
3.0,3,73.144027
9.0,9,73.15702
3.0,3,73.162017
13.0,13,73.179007
10.0,10,73.193999
54.0,54,73.258961
3.0,3,73.263958
16.0,16,73.285946
2.0,2,73.290944
6.0,6,73.300937
3.0,3,73.307934
3.0,3,73.312931
2.0,2,73.317928
11.0,11,73.333919
3.0,3,73.340914
3.0,3,73.345911
3.0,3,73.353907
6.0,6,73.363902
3.0,3,73.369898
3.0,3,73.376893
3.0,3,73.382891
3.0,3,73.388887
19.0,19,73.416878
13.0,13,73.43686
7.0,7,73.448852
10.0,10,73.462845
35.0,35,73.506819
22.0,22,73.534803
24.0,24,73.573781
3.0,3,73.580777
3.0,3,73.587773
3.0,3,73.593769
3.0,3,73.600766
163.0,163,73.870611
5.0,5,73.880605
3.0,3,73.886601
3.0,3,73.892599
5.0,5,73.901594
3.0,3,73.90759
5.0,5,73.918584
47.0,47,73.979549
2.0,2,73.984546
16.0,16,74.006532
3.0,3,74.013528
4.0,4,74.020524
3.0,3,74.026521
3.0,3,74.031519
3.0,3,74.038515
2.0,2,74.043511
4.0,4,74.049508
2.0,2,74.054505
3.0,3,74.060502
2.0,2,74.065498
25.0,25,74.09748
26.0,26,74.130462
3.0,3,74.136459
22.0,22,74.164441
1000.0,1000,79.126595
2.0,2,79.131592
3.0,3,79.137588
2.0,2,79.142586
2.0,2,79.147583
24.0,24,79.179564
3.0,3,79.185563
2.0,2,79.190558
3.0,3,79.198554
